epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.4174,1.36486,3.2554,1.12798,1,0.04552,0.26671,0.17737,1.30793,3.28318,1.10279,0.000545564,0.000545564,0.000545564
2,125.901,1.34281,2.28694,1.13084,0.59795,0.44625,0.50365,0.27647,1.41885,2.44411,1.13677,0.000992209,0.000992209,0.000992209
3,188.518,1.35611,2.057,1.11632,0.58811,0.47633,0.51625,0.28048,1.33483,2.20323,1.10678,0.00132883,0.00132883,0.00132883
4,250.248,1.31927,1.80995,1.10099,0.51347,0.55874,0.54629,0.30499,1.37574,2.01639,1.13473,0.0011719,0.0011719,0.0011719
5,312.67,1.29916,1.69206,1.10691,0.55641,0.57559,0.60014,0.32808,1.35977,1.92031,1.14505,0.00100687,0.00100687,0.00100687
6,374.859,1.27252,1.58774,1.0752,0.6163,0.64968,0.64557,0.37222,1.32597,1.53269,1.11622,0.000841835,0.000841835,0.000841835
7,436.877,1.20619,1.44189,1.06374,0.691,0.65934,0.68129,0.398,1.26253,1.38534,1.09124,0.000676802,0.000676802,0.000676802
8,498.958,1.17434,1.31826,1.02981,0.69261,0.69391,0.69605,0.40282,1.24044,1.39671,1.0824,0.000511769,0.000511769,0.000511769
9,560.912,1.13405,1.26302,1.0298,0.68933,0.70233,0.74494,0.43863,1.20803,1.27527,1.07554,0.000346736,0.000346736,0.000346736
10,622.46,1.13564,1.22908,1.02616,0.69731,0.71166,0.72948,0.43918,1.19562,1.24511,1.06,0.000181703,0.000181703,0.000181703
