epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.8163,0.90188,2.06395,1.38446,0.90607,0.22182,0.24271,0.14278,1.04379,3.04741,1.88769,0.000469982,0.000469982,0.000469982
2,194.565,0.89682,1.52614,1.3795,0.92608,0.25097,0.27493,0.16626,0.97395,2.93293,1.64325,0.000927579,0.000927579,0.000927579
3,291.514,0.94268,1.36227,1.36983,0.94865,0.28727,0.29965,0.19768,1.00862,1.90413,1.57968,0.00136631,0.00136631,0.00136631
4,388.791,0.98456,1.31134,1.41666,0.92418,0.27994,0.28101,0.17218,1.15928,1.90437,1.79569,0.00134412,0.00134412,0.00134412
5,485.831,0.95859,1.24442,1.37955,0.92517,0.25122,0.27771,0.17875,1.16417,1.75058,1.91391,0.00131582,0.00131582,0.00131582
6,582.813,0.94765,1.11386,1.38819,0.95138,0.27273,0.29562,0.20908,0.97684,1.39403,1.50538,0.00128753,0.00128753,0.00128753
7,679.762,0.92746,1.11182,1.36084,0.94133,0.28364,0.29312,0.19606,1.04703,1.36628,1.6225,0.00125923,0.00125923,0.00125923
8,777.1,0.86669,0.953,1.32758,0.94988,0.3082,0.30017,0.21744,0.87486,1.15681,1.43772,0.00123094,0.00123094,0.00123094
9,874.116,0.90078,1.01335,1.35248,0.9731,0.30788,0.33415,0.23689,0.93123,1.02917,1.47239,0.00120265,0.00120265,0.00120265
10,971.268,0.85702,0.91965,1.29214,0.9538,0.30133,0.30528,0.22193,0.88813,1.05963,1.46641,0.00117435,0.00117435,0.00117435
11,1068.77,0.82222,0.85568,1.28736,0.96183,0.30909,0.31118,0.23476,0.82312,0.90159,1.38386,0.00114606,0.00114606,0.00114606
12,1167.32,0.78514,0.8176,1.26494,0.97289,0.31273,0.31814,0.23959,0.77207,0.9328,1.35664,0.00111776,0.00111776,0.00111776
13,1265.19,0.80072,0.79675,1.2529,0.96222,0.30344,0.31377,0.23165,0.83868,0.86818,1.41194,0.00108947,0.00108947,0.00108947
14,1363.93,0.79245,0.77502,1.25494,0.94748,0.31273,0.31211,0.22694,0.89205,0.9115,1.47185,0.00106118,0.00106118,0.00106118
15,1462.9,0.76466,0.74679,1.24451,0.96283,0.30182,0.30948,0.23767,0.8201,0.86901,1.45587,0.00103288,0.00103288,0.00103288
16,1561.57,0.76709,0.7327,1.25422,0.97054,0.3001,0.31423,0.24432,0.7894,0.89065,1.37138,0.00100459,0.00100459,0.00100459
17,1660.07,0.76276,0.73076,1.22616,0.29782,0.30909,0.31233,0.23818,0.79776,0.82511,1.36617,0.000976293,0.000976293,0.000976293
18,1759.09,0.77078,0.70994,1.23863,0.97305,0.30317,0.30977,0.23726,0.79507,0.81955,1.35942,0.000947999,0.000947999,0.000947999
19,1857.9,0.74098,0.7051,1.22406,0.96532,0.31316,0.3142,0.24587,0.75138,0.79365,1.34713,0.000919704,0.000919704,0.000919704
20,1955.37,0.72094,0.70704,1.20697,0.60986,0.30093,0.30597,0.24375,0.7619,0.77679,1.36101,0.00089141,0.00089141,0.00089141
21,2046.92,0.70121,0.67493,1.21112,0.63106,0.30405,0.31288,0.25222,0.73767,0.71992,1.30258,0.000863116,0.000863116,0.000863116
22,2138.43,0.67318,0.65089,1.17407,0.97019,0.30856,0.31839,0.26161,0.69215,0.68499,1.26302,0.000834822,0.000834822,0.000834822
23,2230.33,0.66758,0.60909,1.18397,0.6344,0.31152,0.31187,0.24918,0.68073,0.6874,1.24109,0.000806528,0.000806528,0.000806528
24,2322.22,0.68635,0.64671,1.18166,0.97165,0.30667,0.31029,0.2514,0.66627,0.68738,1.25566,0.000778233,0.000778233,0.000778233
25,2413.82,0.67931,0.63049,1.19668,0.96111,0.31204,0.31534,0.25233,0.67726,0.7018,1.24823,0.000749939,0.000749939,0.000749939
26,2505.42,0.66951,0.59236,1.1827,0.96161,0.31273,0.31438,0.25363,0.71671,0.68637,1.28142,0.000721645,0.000721645,0.000721645
27,2597.26,0.65258,0.577,1.16297,0.30881,0.32,0.32166,0.26526,0.62179,0.61316,1.18247,0.000693351,0.000693351,0.000693351
28,2689.64,0.65069,0.57042,1.17007,0.30554,0.31982,0.32045,0.25872,0.65693,0.64852,1.22058,0.000665057,0.000665057,0.000665057
29,2782.17,0.62826,0.56372,1.15288,0.30992,0.32121,0.31757,0.25912,0.66641,0.60918,1.22945,0.000636762,0.000636762,0.000636762
